engine,method,percent,run_id,bench_n,success_rate,avg_moves,avg_nodes,avg_time
learned,mlp,20,run_014,50,1.0,21.9,1904.28,0.03924852200376336
learned,mlp,20,run_015,50,1.0,21.9,1772.28,0.04062637600116432
learned,mlp,30,run_001,50,1.0,21.94,1226.88,0.02843059800041374
learned,mlp,30,run_002,50,1.0,21.94,1074.46,0.02244907200045418
learned,mlp,30,run_003,50,1.0,21.9,1543.92,0.03113727200019639
learned,mlp,30,run_004,50,1.0,21.9,2393.84,0.05121616800141055
learned,mlp,30,run_005,50,1.0,21.9,1236.82,0.027155851998832078
learned,mlp,30,run_006,50,1.0,21.9,2084.06,0.04430837800027802
learned,mlp,30,run_007,50,1.0,21.9,2807.04,0.0599424539989559
learned,mlp,30,run_008,50,1.0,21.94,2573.92,0.06411733000015374
learned,mlp,30,run_009,50,1.0,21.9,1003.66,0.0219164139975328
learned,mlp,30,run_010,50,1.0,21.9,1905.68,0.041052889996790326
learned,mlp,30,run_011,50,1.0,21.9,493.14,0.009732113997451962
learned,mlp,30,run_012,50,1.0,21.9,1421.38,0.033535825998405926
learned,mlp,30,run_013,50,1.0,21.9,1640.22,0.03658211999805644
learned,mlp,30,run_014,50,1.0,21.9,912.1,0.019976821999880486
learned,mlp,30,run_015,50,1.0,21.94,1060.86,0.026680071999435312
learned,mlp,40,run_001,50,1.0,21.9,650.12,0.016591803997871465
learned,mlp,40,run_002,50,1.0,21.94,615.96,0.012448625999386422
learned,mlp,40,run_003,50,1.0,21.94,947.38,0.02072491000115406
learned,mlp,40,run_004,50,1.0,21.9,820.62,0.015976976000820285
learned,mlp,40,run_005,50,1.0,21.94,794.98,0.017833051999332383
learned,mlp,40,run_006,50,1.0,21.94,1085.58,0.02626854999922216
learned,mlp,40,run_007,50,1.0,21.9,704.06,0.01590063200099394
learned,mlp,40,run_008,50,1.0,21.9,734.56,0.014210933998110704
learned,mlp,40,run_009,50,1.0,21.9,812.06,0.01934290200122632
learned,mlp,40,run_010,50,1.0,21.94,467.4,0.008424611997324973
learned,mlp,40,run_011,50,1.0,21.9,1116.04,0.024399056000402198
learned,mlp,40,run_012,50,1.0,21.9,1317.76,0.03309534200117923
learned,mlp,40,run_013,50,1.0,21.9,954.92,0.023183923997567035
learned,mlp,40,run_014,50,1.0,21.94,1073.8,0.024341745999990963
learned,mlp,40,run_015,50,1.0,21.94,675.14,0.015561975999153219
learned,mlp,50,run_001,50,1.0,21.9,606.66,0.011797808003029786
learned,mlp,50,run_002,50,1.0,21.9,564.54,0.011785500003607013
learned,mlp,50,run_003,50,1.0,21.9,413.66,0.006685186000540852
learned,mlp,50,run_004,50,1.0,21.9,1320.74,0.029690357998479158
learned,mlp,50,run_005,50,1.0,21.9,776.42,0.016859539996366947
learned,mlp,50,run_006,50,1.0,21.9,580.3,0.013415319998166524
learned,mlp,50,run_007,50,1.0,22.02,1085.5,0.02454200200212654
learned,mlp,50,run_008,50,1.0,21.9,472.02,0.010730075999745167
learned,mlp,50,run_009,50,1.0,21.9,960.22,0.020238361999508923
learned,mlp,50,run_010,50,1.0,21.9,539.08,0.012154141999781131
learned,mlp,50,run_011,50,1.0,21.9,1143.18,0.025381449999986216
learned,mlp,50,run_012,50,1.0,21.9,541.6,0.017674499999848194
learned,mlp,50,run_013,50,1.0,21.94,566.36,0.012025796001544221
learned,mlp,50,run_014,50,1.0,21.9,586.84,0.012749938001506962
learned,mlp,50,run_015,50,1.0,21.9,511.62,0.010476079998188653
learned,mlp,60,run_001,50,1.0,21.94,1202.78,0.02552644200157374
learned,mlp,60,run_002,50,1.0,21.9,478.62,0.012044029998360201
learned,mlp,60,run_003,50,1.0,21.9,738.38,0.016850850001792424
learned,mlp,60,run_004,50,1.0,21.9,494.54,0.008999894000007771
learned,mlp,60,run_005,50,1.0,21.9,1034.34,0.022054351997212507
learned,mlp,60,run_006,50,1.0,21.9,688.46,0.014280653998721391
learned,mlp,60,run_007,50,1.0,21.9,749.2,0.015965751999174244
learned,mlp,60,run_008,50,1.0,21.9,525.68,0.01651639799703844
learned,mlp,60,run_009,50,1.0,21.9,362.72,0.005146354003809393
learned,mlp,60,run_010,50,1.0,21.9,1115.28,0.02256319600099232
learned,mlp,60,run_011,50,1.0,21.98,540.74,0.005879878000705503
learned,mlp,60,run_012,50,1.0,21.9,626.4,0.006462605998385698
learned,mlp,60,run_013,50,1.0,21.9,579.02,0.006107759999576956
learned,mlp,60,run_014,50,1.0,21.9,959.82,0.010018277999479323
learned,mlp,60,run_015,50,1.0,21.9,535.56,0.006167954000993632
learned,mlp,70,run_001,50,1.0,21.9,340.7,0.0035059659997932614
learned,mlp,70,run_002,50,1.0,21.94,895.2,0.011165407996741124
learned,mlp,70,run_003,50,1.0,21.9,508.22,0.005390490002464503
learned,mlp,70,run_004,50,1.0,21.9,550.38,0.005658838000381365
learned,mlp,70,run_005,50,1.0,21.9,522.88,0.005564480001921766
learned,mlp,70,run_006,50,1.0,21.9,883.78,0.009306758001912385
learned,mlp,70,run_007,50,1.0,21.94,750.42,0.008624636001186445
learned,mlp,70,run_008,50,1.0,21.9,629.36,0.007003911999054253
learned,mlp,70,run_009,50,1.0,21.9,654.34,0.007112319999141619
learned,mlp,70,run_010,50,1.0,21.9,652.88,0.006978587998310104
learned,mlp,70,run_011,50,1.0,21.9,690.3,0.008732051997212694
learned,mlp,70,run_012,50,1.0,21.9,740.6,0.017165311998687684
learned,mlp,70,run_013,50,1.0,21.9,630.32,0.011644828000571579
learned,mlp,70,run_014,50,1.0,21.9,1138.68,0.027049708002014086
learned,mlp,70,run_015,50,1.0,21.94,826.9,0.021220164000988008
